,Unnamed: 0,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared,nat_gas_coeffs_exist
456,275,MICHPWR  NUGU2,G001,54915,CONS.MIPOWER2,miso,MICHPWR,,NG,8.729309556470051,-9.01691815272062,0.9893039014134104,,0
457,276,MIHM     MHM11,M1,61391,MIUP.MIHM11,miso,MIHM,,NG,6.7978966620941925,11.983539094650205,0.825767799105241,,0
458,277,MIHM     MHM12,M2,61391,MIUP.MIHM11,miso,MIHM,,NG,7.818472793781436,7.897576588934613,0.7519195765728051,,0
459,278,MIHM     MHM13,M3,61391,MIUP.MIHM11,miso,MIHM,,NG,7.664837677183356,8.076817558299041,0.8090708878670201,,0
460,280,MONTPS   CTG_1A,1A,60925,EES.MCPS_ST,miso,MONTPS,,NG,5.009144947416552,-4.356652949245542,0.902301839438282,,1
461,281,MONTPS   CTG_1B,1B,60925,EES.MCPS_ST,miso,MONTPS,,NG,5.009144947416552,-4.356652949245542,0.8981801681300157,,1
462,282,MONTPS   STG_1C,1C,60925,EES.MCPS_ST,miso,MONTPS,,NG,5.009144947416552,-4.356652949245542,0.9124098345420564,,1
463,283,MORA     MORA_12_UNIT,2,1997,GRE.MORA__2_5,miso,MORA,,NG,1.1463191586648378,-3.0544124371284878,0.7900360048270889,,0
464,285,MOSELLE  MOSELLECT1,GTG1,2070,SME.MOS_3,miso,MOSELLE,,NG,3.7215363511659794,0.3511659807956104,0.9120119180353352,,1
465,286,MOSELLE  MOSELLECT2,GTG2,2070,SME.MOS_3,miso,MOSELLE,,NG,3.8020118884316414,-0.0987654320987654,0.8347270535128881,,1
466,287,MOSELLE  MOSELLEG1,1,2070,SME.MOS_3,miso,MOSELLE,,NG,3.7215363511659794,0.3511659807956104,0.9221998852653882,,1
467,288,MOSELLE  MOSELLEG2,2,2070,SME.MOS_3,miso,MOSELLE,,NG,3.8020118884316414,-0.0987654320987654,0.8725302394874697,,1
468,289,MOSELLE  MOSELLEG4,4,2070,SME.MOS_3,miso,MOSELLE,,NG,13.51394604481024,-5.991769547325104,0.6524924227564781,,1
469,291,MSCHEM   G1,EXIS,10195,EMBA.EMILD,miso,MSCHEM,,NG,13.561499771376315,-11.88477366255144,0.3337929798186833,,0
470,292,M_TOWN   MGS_CTG1,CTG1,58236,ALTW.MGS_CT1,miso,M_TOWN,,NG,6.333333333333333,-5.62962962962963,0.8895650629267897,,1
471,293,M_TOWN   MGS_CTG2,CTG2,58236,ALTW.MGS_CT1,miso,M_TOWN,,NG,6.333333333333333,-5.62962962962963,0.9001164972819642,,1
472,294,M_TOWN   MGS_STG31,STG1,58236,ALTW.MGS_CT1,miso,M_TOWN,,NG,6.3625971650663,-5.70644718792867,0.8828308203557759,,1
473,295,M_TOWN   MGS_STG32,STG1,58236,ALTW.MGS_CT1,miso,M_TOWN,,NG,6.336991312299954,-6.401463191586649,0.8988230080298292,,1
474,296,M_TOWN   SUTCT1_UNIT,1,1068,ALTW.MGS_CT1,miso,M_TOWN,,NG,14.088248742569728,9.90580704160951,0.402408709437507,,0
475,297,M_TOWN   SUTCT2_UNIT,2,1068,ALTW.MGS_CT1,miso,M_TOWN,,NG,12.02880658436214,8.2267946959305,0.5775186771973511,,0
476,298,M_TOWN   SUTCT3_UNIT,3,1068,ALTW.MGS_CT1,miso,M_TOWN,,NG,11.930041152263374,11.120256058527662,0.5700773331802863,,0
477,310,NINEMI   G6C,6C,1403,EES.NINEM6_CT1,miso,"ALLIAN,NINEMI",,NG,3.962962962962962,-7.974394147233653,0.8884274543985606,,1
478,312,NOBLESVI CT3,3,1007,CIN.08NOBSN1,miso,NOBLESVI,,NG,8.008687700045725,-5.340649291266575,0.9654398996912544,,0
479,313,NOBLESVI CT4,4,1007,CIN.08NOBSN1,miso,NOBLESVI,,NG,8.008687700045725,-5.340649291266575,0.960386397636714,,0
480,314,NOBLESVI CT5,5,1007,CIN.08NOBSN1,miso,NOBLESVI,,NG,8.008687700045725,-5.340649291266575,0.8921644733942918,,0
481,315,NOBLESVI UN1,1,1007,CIN.08NOBSN1,miso,NOBLESVI,,NG,8.008687700045725,-5.340649291266575,0.9558368662388772,,0
482,316,NOBLESVI UN2,2,1007,CIN.08NOBSN1,miso,NOBLESVI,,NG,8.008687700045725,-5.340649291266575,0.9581761348007112,,0
483,317,OSAGEMUN OSAGE_1_UNIT,"5, 6, 7, 8, SO, W1",1172,DPC.AZ,miso,OSAGEMUN,,NG,5.042066758116141,-10.509373571101968,0.909706323113564,,0
484,325,OSWALD_E STG1,G8,55221,EAI.AECCOSWCT1,miso,OSWALD_E,,NG,8.275720164609053,6.9318701417466855,0.7131791139189743,,0
485,326,OSWALD_E STG2,G9,55221,EAI.AECCOSWCT1,miso,OSWALD_E,,NG,7.675811614083219,7.06721536351166,0.6654612116802253,,0
486,327,OUACH    G1,"CTG1, STG1",55467,EES.OUACH_1,miso,"OUACH,PERVIL",,NG,6.446730681298583,-3.5921353452217653,0.7964812128490504,,1
487,328,OUACH    G2,"CTG2, STG2",55467,EES.OUACH_1,miso,"OUACH,PERVIL",,NG,8.473251028806585,-11.464106081390034,0.729248208464393,,1
488,329,OUACH    G3,"CTG3, STG3",55467,EES.OUACH_1,miso,"OUACH,PERVIL",,NG,6.673525377229081,-4.576131687242799,0.6799429922405154,,1
489,330,OWATNNA  OWANAS_7_UNIT,7,2003,NSP.OWATONA_7,miso,OWATNNA,,NG,20.11294010059442,11.500685871056245,0.469532163490799,,0
490,331,OWATNNA  OWAN_SIG_UNIT,"UNIT1, UNIT2, UNIT3, UNIT4",60254,NSP.OWATONA_7,miso,OWATNNA,,NG,11.106995884773662,11.712848651120254,0.5643953154717425,,0
491,332,PARIS001 PARIS_PS1,1,7270,WEC.PARIS01S1,miso,PARIS001,,NG,12.946959304983997,10.67398262459991,0.6533296814375861,,0
492,333,PARIS001 PARIS_PS2,2,7270,WEC.PARIS01S1,miso,PARIS001,,NG,12.219021490626428,11.979881115683584,0.4596234486993649,,0
493,334,PARIS001 PARIS_PS3,3,7270,WEC.PARIS01S1,miso,PARIS001,,NG,18.48148148148148,4.938271604938272,0.4821353619479869,,0
494,335,PARIS001 PARIS_PS4,4,7270,WEC.PARIS01S1,miso,PARIS001,,NG,13.382258802011886,11.039780521262,0.6604648451411768,,0
495,336,PBENGY   CT,CT01,55075,EAI.PBENRGY_CT,miso,PBENGY,,NG,8.553726566072244,-8.973022405121169,0.9541454064064072,,0
496,337,PBENGY   ST,ST01,55075,EAI.PBENRGY_CT,miso,PBENGY,,NG,8.553726566072244,-8.973022405121169,0.9563655689863252,,0
497,338,PELICN   G1,SJC1,56603,EES.SAN_JC1_CT,miso,PELICN,,NG,10.547325102880658,11.442158207590309,0.4668307904491056,,0
498,339,PELICN   G2,SJC2,56603,EES.SAN_JC1_CT,miso,PELICN,,NG,4.017832647462278,11.96159122085048,0.5610599977536318,,0
499,340,PENO     CTG_1,GT1,7964,AMMO.PENOCTG1,miso,PENO,,NG,17.446273433927757,7.513488797439414,0.4616674831106674,,0
500,341,PENO     CTG_2,GT2,7964,AMMO.PENOCTG1,miso,PENO,,NG,17.446273433927757,7.513488797439414,0.3505617615323252,,0
501,343,PENO     CTG_4,GT4,7964,AMMO.PENOCTG1,miso,PENO,,NG,18.83264746227709,4.828532235939645,0.4341889854999811,,0
502,344,PERVIL   G1,"CT-1, ST-1",55620,EES.PERVL1,miso,"OUACH,PERVIL",,NG,7.434385002286237,-4.320073159579333,0.9418178594000932,,1
503,345,PERVIL   G2,"2-CT, CT-2",55620,EES.PERVL1,miso,"OUACH,PERVIL",,NG,11.289894833104707,11.987197073616828,0.5979730539623842,,1
504,349,PLYMOUTH UNIT1,"7EA, LM1, LM2, LM3, ST1",55270,CONS.JAXON_1,miso,PLYMOUTH,,NG,6.304069501600366,9.65706447187929,0.7460962120683171,,1
505,350,PLYMOUTH UNIT2,"LM4, LM5, LM6, ST2",55270,CONS.JAXON_1,miso,PLYMOUTH,,NG,6.304069501600366,9.65706447187929,0.7494140150823836,,1
506,351,PNKY     CTG_1,1,55202,AMMO.PNKYCTG1,miso,PNKY,,NG,16.129401005944217,9.8692272519433,0.5828572307329473,,0
507,352,PNKY     CTG_2,2,55202,AMMO.PNKYCTG1,miso,PNKY,,NG,16.129401005944217,9.8692272519433,0.5783568004545684,,0
508,353,PNKY     CTG_3,3,55202,AMMO.PNKYCTG1,miso,PNKY,,NG,16.129401005944217,9.8692272519433,0.5474765162026608,,0
509,354,PNKY     CTG_4,4,55202,AMMO.PNKYCTG1,miso,PNKY,,NG,16.129401005944217,9.8692272519433,0.6057498215886443,,0
510,359,PORTWAS0 10ST,ST2,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,6.369913122999543,-7.5829903978052124,0.8453640241503511,,1
