earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20171006_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,9.9,9.9,9.9,PYRBT,PYRBT,,,MWH,BA,6.0,,,,,hydro
ercot_rt_se_20230504_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,SMTBC,SMTBC,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20210115_H01,ercot_rt_se_20230607_H24,ERC,FWES,0.0,9.9,9.9,9.9,SWOO1,SWOO1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20221020_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,ALVIN,ALVIN,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20220915_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,SWNY,SWNY,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20190831_H01,ercot_rt_se_20230517_H24,ERC,SCEN,0.0,9.9,9.9,9.9,1,1,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230608_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.9,9.9,9.9,SWOO1,SWOO1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210304_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,ZPT1,ZPT1,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20220804_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,BRAZ,BRAZ,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTSR,SMTSR,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20200716_H01,ercot_rt_se_20230329_H24,ERC,FWES,0.0,9.9,9.9,9.9,ODSA,ODSA,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20210813_H01,ercot_rt_se_20230308_H24,ERC,COAS,0.0,9.9,9.9,9.9,LOOP,LOOP,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20221027_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,ANGLE,ANGLE,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTR2,SMTR2,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20220505_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.9,9.9,9.9,SCRWB,SCRWB,,,MWH,BA,1.0,,,,,hydro
