orispl,unit,from_datetime,to_datetime,gload_max,gload_p90,gload_min,from_datetime_fitting,to_datetime_fitting,data_url,fitting_param_x,fitting_param_intercept,r2_score
4076,31B,2008-01-01 11:00:00-06:00,2023-08-24 06:00:00-05:00,24.0,17.0,0.0,2020-01-03 10:00:00-06:00,2023-08-24 06:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_31B.parquet,12.583495370981572,42.250989798187156,0.792962934932
4076,32A,2008-01-01 11:00:00-06:00,2023-10-12 09:00:00-05:00,23.0,18.0,0.0,2020-01-03 10:00:00-06:00,2023-10-12 09:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_32A.parquet,13.856381727586115,20.738009579334385,0.85359983368219
4076,32B,2008-01-01 11:00:00-06:00,2023-08-24 08:00:00-05:00,22.0,17.0,0.0,2020-01-03 10:00:00-06:00,2023-08-24 08:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_32B.parquet,14.217377555756324,14.803268236761832,0.8519126783652818
4078,3,1994-12-31 18:00:00-06:00,2023-12-28 11:00:00-06:00,378.0,363.0,0.0,2020-03-15 19:00:00-05:00,2023-11-16 18:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4078_3.parquet,8.737025435261,13.154789789313925,0.9808804793581177
4078,4,2008-07-06 19:00:00-05:00,2023-12-31 17:00:00-06:00,620.0,602.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4078_4.parquet,7.24024547142871,428.7400015639896,0.9787675091536345
4143,1,1994-12-31 18:00:00-06:00,2021-04-11 07:00:00-05:00,397.0,339.0,0.0,2020-01-01 00:00:00-06:00,2021-04-11 07:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4143_1.parquet,9.29086750954553,191.73413699973077,0.975877894515015
4271,B1,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,427.0,395.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4271_B1.parquet,9.231526316086727,412.4019889214352,0.9818854609674968
6009,1,1996-12-31 18:00:00-06:00,2023-11-30 07:00:00-06:00,878.0,852.0,0.0,2020-01-01 00:00:00-06:00,2023-11-29 20:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6009_1.parquet,9.909224514493225,681.1657582954991,0.9808683754652135
6009,2,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,896.0,868.0,0.0,2020-02-21 07:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6009_2.parquet,9.180652117017628,642.3728689135035,0.9960575946622845
6017,1,1996-01-02 06:00:00-06:00,2023-12-31 17:00:00-06:00,672.0,624.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6017_1.parquet,8.882215289322936,530.8697427865071,0.9714412213540645
6018,2,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,683.0,654.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6018_2.parquet,9.36757603518984,608.3566181132659,0.9793328862864432
6030,1,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,622.0,606.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6030_1.parquet,9.198150248786028,387.78926064639035,0.9821259151428342
6030,2,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,623.0,607.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6030_2.parquet,9.139752090006716,362.24669858052937,0.9727281634452819
6034,1,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,701.0,643.0,0.0,2020-03-04 12:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6034_1.parquet,8.808088021745505,337.43629006557364,0.9584076198861542
6034,2,1996-12-31 18:00:00-06:00,2023-12-29 22:00:00-06:00,691.0,645.0,0.0,2020-01-01 00:00:00-06:00,2023-12-29 22:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6034_2.parquet,9.412286419774112,291.5026597939289,0.9877060971188052
6034,CTG121,1999-07-23 05:00:00-05:00,2023-11-11 05:00:00-06:00,99.0,89.0,0.0,2020-01-05 23:00:00-06:00,2023-11-11 05:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6034_CTG121.parquet,11.686606693120268,3.949989950966863,0.9140922003112762
6034,CTG122,1999-07-23 06:00:00-05:00,2023-11-02 05:00:00-05:00,100.0,87.0,0.0,2020-01-06 01:00:00-06:00,2023-11-02 05:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6034_CTG122.parquet,11.36535474313374,30.536746843060996,0.9106444391044751
6034,CTG131,1999-07-23 08:00:00-05:00,2023-12-30 10:00:00-06:00,100.0,85.0,0.0,2020-03-13 04:00:00-05:00,2023-12-30 10:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6034_CTG131.parquet,11.953822574084075,0.0,0.919562739367576
6035,CTG112,1999-07-04 03:00:00-05:00,2023-11-08 14:00:00-06:00,100.0,84.0,0.0,2020-01-11 11:00:00-06:00,2023-11-08 14:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6035_CTG112.parquet,12.003711065880546,0.0,0.9128886626550825
6035,CTG121,1999-07-01 03:00:00-05:00,2023-11-08 14:00:00-06:00,100.0,82.0,0.0,2020-01-11 11:00:00-06:00,2023-11-08 14:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6035_CTG121.parquet,11.983725432550903,13.200582389850563,0.887592053724664
6035,1,1997-01-12 18:00:00-06:00,2023-12-22 18:00:00-06:00,844.0,731.0,0.0,2020-01-07 17:00:00-06:00,2023-12-22 18:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6035_1.parquet,8.743593306593505,484.19283552618947,0.9878283446840197
6035,CTG111,1999-07-02 08:00:00-05:00,2023-11-08 13:00:00-06:00,100.0,83.0,0.0,2020-01-11 11:00:00-06:00,2023-11-08 13:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6035_CTG111.parquet,12.250669822134443,0.0,0.9342091042302245
6041,1,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,348.0,321.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6041_1.parquet,8.366262346643127,285.7221089030858,0.9420638789774841
6041,2,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,593.0,540.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6041_2.parquet,9.793235867379614,0.0,0.9349602232673416
6041,3,2008-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,308.0,300.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6041_3.parquet,8.46011481780844,115.26209302564043,0.9767185912666062
6041,4,2009-03-18 22:00:00-05:00,2023-12-31 17:00:00-06:00,307.0,300.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6041_4.parquet,8.097772616968653,93.7347970655457,0.9600256152150168
6055,2B1,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,646.0,614.0,0.0,2020-08-23 12:00:00-05:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6055_2B1.parquet,8.623144255460879,738.4895132967001,0.8103472216590788
6055,2B2,1996-12-31 18:00:00-06:00,2023-10-04 18:00:00-05:00,646.0,612.0,0.0,2020-01-06 12:00:00-06:00,2023-10-04 18:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6055_2B2.parquet,8.839178848071366,563.4558555546568,0.984785794484063
6055,2B3,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,629.0,607.0,0.0,2020-03-15 10:00:00-05:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6055_2B3.parquet,8.75333381161058,767.171529676495,0.9831919254579811
6058,CT2,2002-06-19 05:00:00-05:00,2023-12-20 08:00:00-06:00,31.0,25.0,0.0,2020-01-28 00:00:00-06:00,2023-12-20 08:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6058_CT2.parquet,10.261173152343334,4.716574611861432,0.9813493965207447
6058,CT3,2002-06-19 05:00:00-05:00,2023-12-20 08:00:00-06:00,28.0,25.0,0.0,2020-01-11 15:00:00-06:00,2023-12-20 08:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6058_CT3.parquet,10.14511617058723,5.819459142384835,0.9811135261322514
6061,3,2022-11-02 15:00:00-05:00,2023-12-31 17:00:00-06:00,591.0,576.0,0.0,2022-11-02 15:00:00-05:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6061_3.parquet,4.738137964154358,380.10483971993244,0.924882177946992
6065,1,1994-12-31 18:00:00-06:00,2023-12-18 18:00:00-06:00,779.0,731.0,0.0,2020-01-01 00:00:00-06:00,2023-12-18 18:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6065_1.parquet,8.38054685501406,275.5465602810423,0.9789809129104291
6065,2,2010-09-30 19:00:00-05:00,2023-12-18 19:00:00-06:00,955.0,929.0,0.0,2020-01-01 00:00:00-06:00,2023-12-18 19:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6065_2.parquet,7.850239389000855,629.6357578369785,0.9733523756051662
6071,8,2004-05-07 13:00:00-05:00,2023-12-14 14:00:00-06:00,190.0,158.0,0.0,2020-01-13 12:00:00-06:00,2023-12-08 05:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/6071_8.parquet,7.98660049419228,422.9680391287965,0.8234670163233904
